Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recoveries,New_Recoveries,Active_Cases
8/1/21,53237,342,1196,6,47001,22,5040
8/2/21,53237,0,1196,0,47001,0,5040
8/3/21,53543,306,1203,7,47078,77,5262
8/4/21,53639,96,1207,4,47101,23,5331
8/5/21,53839,200,1211,4,0,0,52628
8/6/21,54165,326,1214,3,0,0,52951
8/7/21,54480,315,1218,4,0,0,53262
8/8/21,54859,379,1222,4,0,0,53637
8/9/21,55140,281,1231,9,0,0,53909
8/10/21,55456,316,1241,10,0,0,54215
8/11/21,55790,334,1254,13,0,0,54536
8/12/21,56165,375,1268,14,0,0,54897
8/13/21,56709,544,1276,8,0,0,55433
8/14/21,57289,580,1285,9,0,0,56004
8/15/21,57945,656,1300,15,0,0,56645
8/16/21,58458,513,1311,11,0,0,57147
8/17/21,59088,630,1320,9,0,0,57768
8/18/21,59377,289,1339,19,0,0,58038
8/19/21,59932,555,1342,3,0,0,58590
8/20/21,60488,556,1356,14,0,0,59132
8/21/21,61282,794,1371,15,0,0,59911
8/22/21,61282,0,1371,0,0,0,59911
8/23/21,62712,1430,1402,31,0,0,61310
8/24/21,63464,752,1417,15,0,0,62047
8/25/21,63831,367,1431,14,0,0,62400
8/26/21,64294,463,1453,22,0,0,62841
8/27/21,64899,605,1465,12,0,0,63434
8/28/21,65734,835,1483,18,0,0,64251
8/29/21,66663,929,1504,21,0,0,65159
8/30/21,67402,739,1510,6,0,0,65892
