Taxa,day,oxygen,Abundance
Oceanospirillales,Initial Control,1,6.610777187
Pseudomonadales,Initial Control,1,4.784443923
Alteromonadales,Initial Control,1,8.206003234
Alphaproteobacteria_unclassified,Initial Control,1,2.989583205
Gammaproteobacteria_unclassified,Initial Control,1,2.904422201
Rhodospirillales,Initial Control,1,21.67625242
Desulfobacterales,Initial Control,1,0.003702652
Flavobacteriales,Initial Control,1,0.943867791
Rhodobacterales,Initial Control,1,1.058650013
Bacteria_unclassified,Initial Control,1,6.407439863
Campylobacterales,Initial Control,1,0.189452378
Betaproteobacteriales,Initial Control,1,5.751761845
Caulobacterales,Initial Control,1,0.4103773
Planctomycetales,Initial Control,1,1.455142367
Nitrosopumilales,Initial Control,1,7.197030473
Bacteroidia_unclassified,Initial Control,1,0.247152043
Clostridiales,Initial Control,1,0.360700048
Rhizobiales,Initial Control,1,2.14445281
Bacteroidales,Initial Control,1,0.098737396
Sphingomonadales,Initial Control,1,1.856571591
Less than 0.5%,Initial Control,1,24.70347926
Oceanospirillales,Final Control,1,5.35415458
Pseudomonadales,Final Control,1,52.7416899
Alteromonadales,Final Control,1,1.470277154
Alphaproteobacteria_unclassified,Final Control,1,0.119172037
Gammaproteobacteria_unclassified,Final Control,1,4.233225331
Rhodospirillales,Final Control,1,0.056549121
Desulfobacterales,Final Control,1,18.68026917
Flavobacteriales,Final Control,1,0.400660996
Rhodobacterales,Final Control,1,0.011519265
Bacteria_unclassified,Final Control,1,0.137393421
Campylobacterales,Final Control,1,4.823849487
Betaproteobacteriales,Final Control,1,0.053407503
Caulobacterales,Final Control,1,0.004398265
Planctomycetales,Final Control,1,0.012566471
Nitrosopumilales,Final Control,1,0.060528504
Bacteroidia_unclassified,Final Control,1,2.282699529
Clostridiales,Final Control,1,7.698010937
Rhizobiales,Final Control,1,0.011728707
Bacteroidales,Final Control,1,0.046914827
Sphingomonadales,Final Control,1,0.001466088
Less than 0.5%,Final Control,1,1.799518704
Oceanospirillales,Day 0,1,7.333520768
Pseudomonadales,Day 0,1,8.321687574
Alteromonadales,Day 0,1,1.040262629
Alphaproteobacteria_unclassified,Day 0,1,3.220844945
Gammaproteobacteria_unclassified,Day 0,1,7.19956008
Rhodospirillales,Day 0,1,12.6245545
Desulfobacterales,Day 0,1,0.014884521
